method,p_noise,seed,pehe
TFIDF_CF,0.0,42,1.2115798666334092
CTRL_DML,0.0,42,0.8285108682207124
CTRL_DML_XATTN,0.0,42,0.1782705935601895
TFIDF_CF,0.0,1024,1.2309429000981322
CTRL_DML,0.0,1024,0.7024611465658629
CTRL_DML_XATTN,0.0,1024,0.3500518104318341
TFIDF_CF,0.0,2023,1.1595938658788365
CTRL_DML,0.0,2023,0.8096373596677172
CTRL_DML_XATTN,0.0,2023,0.4434236971334306
TFIDF_CF,0.3,42,1.2115798666334092
CTRL_DML,0.3,42,1.0797083715308944
CTRL_DML_XATTN,0.3,42,0.677112600993745
TFIDF_CF,0.3,1024,1.2309429000981322
CTRL_DML,0.3,1024,1.0039170248392926
CTRL_DML_XATTN,0.3,1024,0.7041269404409378
TFIDF_CF,0.3,2023,1.1595938658788363
CTRL_DML,0.3,2023,1.0832629210654503
CTRL_DML_XATTN,0.3,2023,0.7238073169111203
TFIDF_CF,0.6,42,1.2115798666334092
CTRL_DML,0.6,42,1.2630294289413637
CTRL_DML_XATTN,0.6,42,0.9841195609571625
TFIDF_CF,0.6,1024,1.2309429000981322
CTRL_DML,0.6,1024,1.2683529168979997
CTRL_DML_XATTN,0.6,1024,0.9374971648355352
TFIDF_CF,0.6,2023,1.1595938658788365
CTRL_DML,0.6,2023,1.2522749055830196
CTRL_DML_XATTN,0.6,2023,1.0617561326891003
