feature,mask
experience1,0.15630494
system1,0.13658914
gender_male,0.33261508
ethnicity_amindian,0.12549938
ethnicity_asian,0.6236625
ethnicity_cauc,0.48868024
ethnicity_hispanic,1.0
ethnicity_other,0.7262414
lunch1_non-free,0.45270592
school1_rural,0.33105603
school1_suburban,0.4569787
school1_urban,0.30027875
degree1_master,0.4926138
degree1_specialist,0.103705645
ladder1_level1,0.45766792
ladder1_level2,0.29354888
ladder1_level3,0.27999023
ladder1_notladder,0.3777689
ladder1_probation,0.42567673
tethnicity1_cauc,0.4200292
