dataset,method,seed,pehe
N500,Causal Forest,42,2.118303793144928
N500,CTRL-DML (orthogonal),42,1.5947314500808716
N500,CTRL plug-in,42,1.6571695804595947
N500,Causal Forest,7,2.304374228898554
N500,CTRL-DML (orthogonal),7,1.530483365058899
N500,CTRL plug-in,7,1.5228724479675293
N1000,Causal Forest,42,1.9486757153490943
N1000,CTRL-DML (orthogonal),42,1.5247557163238525
N1000,CTRL plug-in,42,1.5667897462844849
N1000,Causal Forest,7,2.058281455042789
N1000,CTRL-DML (orthogonal),7,1.5383377075195312
N1000,CTRL plug-in,7,1.5623642206192017
